Feature,Importance
Low,0.7060724333789941
High,0.2137829075219473
Open,0.06269791436818316
Price_Lag_1,0.006138766779255263
MA_5,0.003524857609139932
MA_20,0.002417729839838186
MA_50,0.0012077268588612678
MA_20_Lag_1,0.0010170684018380245
MA_10_Lag_1,0.0006894359928125384
MA_10,0.0006868496968609703
Daily_Change,0.0005184444015694812
Price_Lag_2,0.00034652946145622457
Return,0.0002740454610019688
Price_MA_5_Ratio,0.00014709592206499017
Price_Lag_5,7.165027886879568e-05
Price_MA_20_Ratio,6.674718035253545e-05
Volume_Lag_1,2.904319037488341e-05
Price_MA_10_Ratio,2.6150223311377845e-05
Price_Lag_10,2.179648816102396e-05
Price_Lag_50,2.1222328007700975e-05
Price_Lag_21,1.8293132161134615e-05
Price_MA_50_Ratio,1.7719920300371786e-05
Volume_Lag_7,1.7255993884248834e-05
Upper_Band,1.5025322853586728e-05
Volume_Lag_21,1.434097297608272e-05
Volume_Lag_2,1.3730339174762819e-05
Price_Lag_14,1.2027516088115974e-05
Volume_Lag_50,1.0874758830308883e-05
Price_Lag_30,1.0036923550375773e-05
Lower_Band,9.85532048012117e-06
Volatility,9.654687652462371e-06
MA_5_Lag_1,9.410976138139603e-06
BB_Width,9.09219676110943e-06
Volatility_Volume,8.926959620148205e-06
Volume_Lag_14,7.500164595093254e-06
Price_Lag_3,7.275135592432316e-06
Volume_Lag_30,6.864785813915588e-06
Signal_Line,5.588151497680545e-06
Price_Lag_7,5.5444850804793615e-06
Volume_Lag_3,5.347491026267294e-06
Volume_Lag_5,5.262465072925875e-06
Volume_Lag_10,5.001132094280072e-06
RSI,4.5931465108937795e-06
Volume,4.377882628845961e-06
MACD,4.249687651377706e-06
Log_Volume,3.735069065247944e-06
